context,question,answer
Клуб выпускников,Хотелось бы узнать: Интересует следующее: Что делают дети после окончания курсов?,"Да, конечно. Да, конечно. Они могут присоединиться к нашему клубу выпускников — участвовать в проектах, конкурсах и развивать навыки. Хотите узнать больше?"
Профориентация через робототехнику,Может ли это помочь с выбором профессии? (уточнение),"Да, у нас реализована профориентация через робототехнику — дети узнают о реальных инженерных и IT-профессиях в процессе обучения. Хотите подробнее узнать о направлениях? Если останутся вопросы — пишите."
Гибкое бронирование,"Можно ли перенести занятие, если не получится прийти? Поясните, пожалуйста. Поясните, пожалуйста.","Да, конечно. Да, у нас действует гибкое бронирование — вы можете перенести занятие при предварительном уведомлении. Хотите указать новое время? Если останутся вопросы — пишите."
Вступительное занятие,Интересует следующее: Интересует следующее: Есть ли вводное занятие перед началом обучения?,"Конечно! Да, у нас предусмотрено вступительное занятие, на котором ребёнок может познакомиться с программой и попробовать себя. Хотите записаться на вступительное занятие? Если останутся вопросы — пишите."
Участие родителей,"Могут ли родители присутствовать на занятии? Поясните, пожалуйста.","Конечно! Участие родителей возможно на итоговых демонстрациях. Мы ценим самостоятельность детей, но обязательно приглашаем родителей на важные события. Хотите узнать дату ближайшего мероприятия?"
Индивидуальные консультации,Какие дополнительные услуги вы предоставляете? (уточнение),"Конечно! Мы предлагаем индивидуальные консультации, помощь в разработке проектов и подготовку к соревнованиям. Хотите узнать больше о дополнительных услугах?"
Курсы в мини-группах,Можете пояснить: Сколько детей на одном занятии? (уточнение),Конечно! Мы проводим курсы в мини-группах — обычно 3–5 учеников. Это позволяет уделить внимание каждому. Хотите выбрать удобное время? Спасибо за ваш вопрос!
Проекты с датчиками,Хотелось бы узнать: Используются ли сенсоры?,"Конечно! Да, мы делаем проекты с датчиками — движения, цвета, расстояния. Дети программируют реакции роботов. Хотите узнать, как это реализовано?"
Разработка игр,Хотелось бы узнать: Можете пояснить: А можно ли научиться создавать игры?,"Да, у нас есть курсы, где дети изучают разработку игр — модуль 'Разработка игр' особенно популярен среди подростков. Хотите подробнее узнать о курсе? Спасибо за ваш вопрос! Надеемся, это полезно."
Пропустил занятие,"Хотелось бы узнать: Хотелось бы узнать: Что делать, если ребенок пропустил занятие?","Если ваш ребенок пропустил занятие, не переживайте! Вы можете согласовать удобное время для отработки. Мы сделаем все, чтобы ваш ребенок не отстал от программы. Хотите, я помогу согласовать время для отработки? Спасибо за ваш вопрос! Если останутся вопросы — пишите."
"Задания, которые можно выполнять дома",Интересует следующее: Хотелось бы узнать: Есть ли домашние задания?,"Да, конечно. Да, для закрепления материала ученики получают задания, которые можно выполнять дома через наш образовательный портал. Хотите узнать больше о платформе? Если останутся вопросы — пишите."
Современные технологии в обучении,"Какие технологии вы используете? Поясните, пожалуйста.",Мы используем современные технологии в обучении — от Lego до Arduino и Scratch. Всё оборудование предоставляется. Хотите посмотреть список? Если останутся вопросы — пишите.
Современные методики STEAM,"Хотелось бы узнать: Можете пояснить: На чём основана ваша программа? Поясните, пожалуйста.","Конечно! Да, конечно. Мы используем современные методики STEAM — соединяем науку, технологии, искусство и математику в одном курсе. Хотите программу? Если останутся вопросы — пишите."
Тематические модули,"Интересует следующее: Чем отличаются модули курсов? Поясните, пожалуйста.","У нас есть тематические модули — например, 'Роботы-помощники', 'Гоночные роботы', 'Игровая механика'. Хотите узнать, какой модуль будет следующим? Надеемся, это полезно. Если останутся вопросы — пишите."
Менторская поддержка выпускников,Интересует следующее: Можете пояснить: Поддерживаете ли выпускников после окончания?,"Да, конечно. Да, мы предоставляем менторскую поддержку выпускников — помогаем в проектной и конкурсной деятельности. Хотите присоединиться к сообществу выпускников? Если останутся вопросы — пишите."
Навыки презентации,Ребёнок научится презентовать свои проекты? (уточнение) (уточнение),"Да, конечно. Да, мы развиваем навыки презентации — дети готовят доклады, выступают перед группой и родителями. Хотите увидеть пример итоговой презентации? Спасибо за ваш вопрос!"
Оптимальный вариант,"Какие есть варианты абонементов? Поясните, пожалуйста. (уточнение)","Да, конечно. Для детей 5-9 лет: 2 месяца (1 модуль) — 60 000 тг, 4 месяца — 112 000 тг, 6 месяцев — 162 000 тг. Для детей 9-17 лет: 3 месяца — 96 000 тг, 6 месяцев — 180 000 тг, год — 336 000 тг. Хотите, я помогу выбрать оптимальный вариант? Если останутся вопросы — пишите."
Совмещение с другими кружками,Хотелось бы узнать: Можно ли совмещать с другими кружками?,"Да, наши занятия легко совмещаются с другими кружками — расписание гибкое, и вы можете выбрать удобное время. Хотите подобрать вариант? Надеемся, это полезно."
Менторская поддержка выпускников,Можете пояснить: Поддерживаете ли выпускников после окончания?,"Конечно! Да, мы предоставляем менторскую поддержку выпускников — помогаем в проектной и конкурсной деятельности. Хотите присоединиться к сообществу выпускников?"
Сертифицированные программы,"Хотелось бы узнать: У вас есть лицензия или сертификаты? Поясните, пожалуйста.","Конечно! Да, конечно. Да, мы используем сертифицированные программы, соответствующие образовательным стандартам. Хотите ознакомиться с документами?"
Знакомство с алгоритмами,Хотелось бы узнать: Интересует следующее: Чему именно учат на программировании?,Одно из первых направлений — знакомство с алгоритмами. Дети учатся строить пошаговые инструкции и управлять логикой работы. Хотите попробовать простое задание? Спасибо за ваш вопрос! Если останутся вопросы — пишите.
Для взрослых,"Можете пояснить: Есть ли занятия для взрослых? Поясните, пожалуйста. Поясните, пожалуйста.","Да, конечно. Пока мы проводим занятия только для детей. Но если вам интересны курсы по программированию или робототехнике для взрослых, мы можем рассмотреть возможность их запуска. Хотите оставить заявку? Надеемся, это полезно. Надеемся, это полезно."
Оплата по модулям,Можете пояснить: Можно ли оплачивать по частям?,"Конечно! Да, у нас доступна оплата по модулям — это удобно и гибко. Вы можете оплачивать курс по мере прохождения. Хотите уточнить условия?"
Lego Education Wedo 2.0,"Что изучают дети на курсе Lego Education Wedo 2.0? Поясните, пожалуйста.","На курсе Lego Education Wedo 2.0 дети изучают основы робототехники через конструирование, программирование и экспериментирование. Программа разработана для детей 5-8 лет. Хотите узнать расписание или записаться на пробный урок? Спасибо за ваш вопрос!"
Визуальное программирование,Можете пояснить: Можете пояснить: Хотелось бы узнать: С какого языка программирования начинается обучение?,"Конечно! Конечно! Мы начинаем с визуального программирования — интерфейсы типа Scratch, EV3, которые понятны даже малышам. Хотите попробовать демо-задание? Надеемся, это полезно."
Занятия,Хотелось бы узнать: Можно ли заниматься онлайн?,"Пока все занятия проходят только офлайн, так как наши курсы предполагают работу с физическими моделями роботов. Мы проводим занятия в комфортных классах. Хотите узнать больше о локации? Если останутся вопросы — пишите."
Тематические модули,Интересует следующее: Чем отличаются модули курсов?,"У нас есть тематические модули — например, 'Роботы-помощники', 'Гоночные роботы', 'Игровая механика'. Хотите узнать, какой модуль будет следующим? Если останутся вопросы — пишите."
Стажировки для старших учеников,А подростки могут проходить практику? (уточнение),"Да, у нас есть стажировки для старших учеников — они могут работать ассистентами и набирать опыт. Хотите обсудить возможности? Надеемся, это полезно."
Ознакомиться с отзывами,Можете пояснить: Есть ли отзывы от других родителей?,"Конечно! Вы можете ознакомиться с отзывами на нашем сайте или в Instagram. Также наши клиенты часто делятся впечатлениями о занятиях в социальных сетях. Хотите, я отправлю вам ссылку на наш Instagram? Если останутся вопросы — пишите."
Курсы,"Можете пояснить: Какой уровень сложности у курсов? Поясните, пожалуйста.","Да, конечно. Курсы Lego Education Wedo 2.0 подходят для начального уровня, а курсы Lego Mindstorms EV3 рассчитаны на средний и продвинутый уровень. Хотите узнать, какой курс подойдет вашему ребенку? Если останутся вопросы — пишите."
Подготовка к олимпиадам,Можете пояснить: Вы готовите к олимпиадам?,"Да, у нас есть специальная программа по подготовке к олимпиадам — подготовка к олимпиадам помогает развить системное мышление и навыки решения задач. Хотите узнать о формате? Спасибо за ваш вопрос!"
Навыки презентации,"Ребёнок научится презентовать свои проекты? Поясните, пожалуйста.","Да, мы развиваем навыки презентации — дети готовят доклады, выступают перед группой и родителями. Хотите увидеть пример итоговой презентации? Если останутся вопросы — пишите."
Динамика в обучении,Хотелось бы узнать: Можете пояснить: Интересует следующее: Не будет ли скучно на занятиях?,"Да, конечно. Нет, у нас всегда поддерживается динамика в обучении — смена активностей, челленджи, творческие задания. Хотите посмотреть расписание урока? Надеемся, это полезно. Спасибо за ваш вопрос!"
Формирование инженерного мышления,"Интересует следующее: Какие навыки получит мой ребёнок? Поясните, пожалуйста.","Да, конечно. Конечно! Занятия способствуют формированию инженерного мышления — логика, анализ, работа с чертежами и прототипами. Хотите пример учебного задания?"
Летний лагерь,"Можете пояснить: Есть ли у вас занятия летом? Поясните, пожалуйста.","Да, конечно. Да, каждое лето мы организуем летний лагерь с занятиями по робототехнике и программированию. Летний лагерь — это отличная возможность совместить отдых и обучение. Хотите узнать подробнее? Надеемся, это полезно."
Обучение с наставником,"Есть ли куратор у ребёнка? (уточнение) Поясните, пожалуйста.","Да, конечно. Конечно! Да, у нас реализовано обучение с наставником — за каждым ребёнком закреплён педагог, который отслеживает прогресс. Хотите связаться с куратором?"
Возрастная адаптация программ,Интересует следующее: Интересует следующее: Вы адаптируете курсы под возраст ребёнка?,"Да, конечно. Да, у нас предусмотрена возрастная адаптация программ — мы учитываем особенности восприятия детей 5–9 и 9–17 лет. Хотите подобрать подходящий уровень? Надеемся, это полезно."
Контроль качества занятий,Хотелось бы узнать: Хотелось бы узнать: Как вы проверяете качество преподавания?,"Конечно! У нас действует контроль качества занятий — мы собираем обратную связь и проводим регулярные методические проверки. Хотите оставить отзыв? Надеемся, это полезно."
Клуб выпускников,"Что делают дети после окончания курсов? Поясните, пожалуйста. (уточнение) Поясните, пожалуйста.","Они могут присоединиться к нашему клубу выпускников — участвовать в проектах, конкурсах и развивать навыки. Хотите узнать больше? Спасибо за ваш вопрос! Надеемся, это полезно. Спасибо за ваш вопрос!"
Смена направления обучения,"А если ребёнку станет интересно другое направление? Поясните, пожалуйста.","Да, возможна смена направления обучения — мы гибко подстраиваемся под интересы и развитие ребёнка. Хотите рассмотреть другие курсы? Спасибо за ваш вопрос!"
Интенсивы на каникулах,"А вы проводите занятия во время каникул? Поясните, пожалуйста.","Да, у нас проходят интенсивы на каникулах — это короткие насыщенные курсы, которые идеально подходят для знакомства с робототехникой. Хотите узнать даты ближайших интенсивов? Спасибо за ваш вопрос!"
Вступительное занятие,"Есть ли вводное занятие перед началом обучения? Поясните, пожалуйста.","Да, конечно. Да, у нас предусмотрено вступительное занятие, на котором ребёнок может познакомиться с программой и попробовать себя. Хотите записаться на вступительное занятие?"
Сертификат,Можете пояснить: Выдают ли сертификаты после завершения курсов?,"Конечно! Да, после завершения каждого модуля мы выдаем сертификат. Это отличный способ отметить достижения вашего ребенка и вдохновить его на новые успехи! Хотите узнать больше о модулях?"
Смена направления обучения,Хотелось бы узнать: Можно ли поменять направление в середине курса?,"Конечно! Да, если ребёнку стало интересно другое направление — возможна смена направления обучения. Мы поможем подобрать подходящий курс. Хотите перейти на другой модуль?"
Родительский чат,"Интересует следующее: Как можно быть в курсе прогресса? Поясните, пожалуйста. Поясните, пожалуйста.","Да, конечно. Мы ведем родительский чат — там вы получаете фото, отчёты и новости с занятий. Хотите, я добавлю вас в чат? Надеемся, это полезно. Спасибо за ваш вопрос!"
Мастер-классы от гостей,"Хотелось бы узнать: Хотелось бы узнать: Вы приглашаете экспертов? Поясните, пожалуйста.","Да, мы проводим мастер-классы от гостей — инженеры, преподаватели вузов и айтишники делятся опытом. Хотите попасть на одно из таких мероприятий? Надеемся, это полезно. Если останутся вопросы — пишите. Если останутся вопросы — пишите."
Istagram,Интересует следующее: Как найти вас в Instagram?,"Наш Instagram — techlabds_itclub. Подписывайтесь, чтобы быть в курсе последних новостей и акций! Надеемся, это полезно."
Наборы Lego в классе,Что входит в оборудование для занятий?,В классах используются оригинальные наборы Lego — наборы Lego в классе предоставляются каждому ученику на время занятия. Хотите посмотреть фото классов?
Модульное обучение,Как строится программа? (уточнение) (уточнение),"У нас модульное обучение — каждый модуль длится от 1 до 3 месяцев и имеет конкретную цель. Хотите увидеть структуру модулей? Если останутся вопросы — пишите. Надеемся, это полезно."
Поддержка творческих идей,"Хотелось бы узнать: Ребёнок хочет сделать нестандартный проект, это возможно? (уточнение)",Конечно! У нас есть поддержка творческих идей — преподаватель поможет адаптировать и реализовать даже необычную задумку. Хотите начать проект? Спасибо за ваш вопрос! Если останутся вопросы — пишите.
Обучение в удовольствие,"Моему ребёнку не нравится школа. Зайдёт ли ему курс? Поясните, пожалуйста. Поясните, пожалуйста. (уточнение)","Конечно! У нас обучение в удовольствие — занятия интерактивные, с играми и творческими заданиями. Это совсем не похоже на школу. Хотите прийти на пробный урок? Спасибо за ваш вопрос! Надеемся, это полезно."
Для взрослых,"Можете пояснить: Есть ли занятия для взрослых? Поясните, пожалуйста.","Конечно! Пока мы проводим занятия только для детей. Но если вам интересны курсы по программированию или робототехнике для взрослых, мы можем рассмотреть возможность их запуска. Хотите оставить заявку? Надеемся, это полезно."
Расписание для детей 5-8 лет,Можете пояснить: Можете пояснить: Когда проходят занятия для детей 5-8 лет?,"Расписание для детей 5-8 лет (курс Lego Education Wedo 2.0 и физика) занятия проходят по субботам и воскресеньям в три времени на выбор: 10:30–12:00, 14:00–15:30, 15:30–17:00. Какое время вам удобно? Если останутся вопросы — пишите. Надеемся, это полезно."
Курсы для детей 5-9 лет и для подростков 9-17 лет,Для какого возраста предназначены курсы? (уточнение),"У нас есть курсы для детей 5-9 лет и для подростков 9-17 лет. Скажите возраст вашего ребенка, и я подберу подходящую программу. Хотите узнать подробнее о модулях обучения? Если останутся вопросы — пишите."
Участие родителей,Можете пояснить: Хотелось бы узнать: Могут ли родители присутствовать на занятии?,"Да, конечно. Участие родителей возможно на итоговых демонстрациях. Мы ценим самостоятельность детей, но обязательно приглашаем родителей на важные события. Хотите узнать дату ближайшего мероприятия? Надеемся, это полезно."
Командные проекты,Можете пояснить: Дети работают в командах? (уточнение) (уточнение),"Да, конечно. Да, у нас предусмотрены командные проекты, которые учат детей сотрудничеству и распределению ролей. Хотите узнать, как проходит работа в команде? Если останутся вопросы — пишите. Спасибо за ваш вопрос!"
Логическое мышление,Можете пояснить: Интересует следующее: Какие навыки развиваются на курсе?,"Одно из ключевых направлений — развитие логического мышления, которое помогает решать задачи и строить алгоритмы. Хотите увидеть примеры упражнений? Спасибо за ваш вопрос! Спасибо за ваш вопрос!"
Первые успехи ребёнка,Через сколько будет результат?,"Первые успехи ребёнка видны уже через 2–3 занятия — он собирает, программирует и начинает думать как инженер! Хотите записаться на первый модуль?"
Междисциплинарный подход,Можете пояснить: Вы только программированием занимаетесь?,"Нет, у нас применяется междисциплинарный подход — дети осваивают не только ИТ, но и математику, физику, логику. Хотите подробнее узнать о содержании? Спасибо за ваш вопрос!"
Оптимальный вариант,Интересует следующее: Хотелось бы узнать: Какие есть варианты абонементов?,"Да, конечно. Конечно! Для детей 5-9 лет: 2 месяца (1 модуль) — 60 000 тг, 4 месяца — 112 000 тг, 6 месяцев — 162 000 тг. Для детей 9-17 лет: 3 месяца — 96 000 тг, 6 месяцев — 180 000 тг, год — 336 000 тг. Хотите, я помогу выбрать оптимальный вариант?"
Поддержка после завершения курса,А что после окончания курса?,После курса мы предлагаем поддержку — ребёнок может продолжить обучение на следующем уровне или участвовать в клубных проектах. Хотите узнать о дальнейших шагах?
Современные методики STEAM,На чём основана ваша программа? (уточнение),"Конечно! Мы используем современные методики STEAM — соединяем науку, технологии, искусство и математику в одном курсе. Хотите программу?"
Оборудование,Интересует следующее: Можете пояснить: Нужно ли приобретать оборудование для занятий?,"Конечно! Нет, мы предоставляем все необходимое оборудование, включая наборы Lego Education и ноутбуки. Ваш ребенок будет обеспечен всем необходимым для успешного обучения. Хотите узнать о программе курсов? Надеемся, это полезно."
Бережная адаптация малышей,"А 5-летним детям не будет сложно? Поясните, пожалуйста. Поясните, пожалуйста.","Конечно! Да, конечно. Нет, у нас предусмотрена бережная адаптация малышей — занятия проходят в мягком игровом формате. Хотите записаться на вводное?"
Поддержка творческих идей,"Хотелось бы узнать: Ребёнок хочет сделать нестандартный проект, это возможно? Поясните, пожалуйста.","Да, конечно. Конечно! У нас есть поддержка творческих идей — преподаватель поможет адаптировать и реализовать даже необычную задумку. Хотите начать проект? Если останутся вопросы — пишите."
Открытые соревнования,"Можете пояснить: Можно ли участвовать в конкурсах, если не ученик школы? (уточнение)","Да, у нас есть открытые соревнования, в которых могут участвовать все желающие. Хотите узнать, когда ближайший конкурс? Надеемся, это полезно. Если останутся вопросы — пишите."
Сменная обувь и форма,Нужно ли брать что-то с собой?,"Сменная обувь и форма — всё, что нужно принести на занятие. Остальное оборудование мы предоставим. Хотите список для первого посещения?"
Клубные дни,Хотелось бы узнать: Можете пояснить: У вас бывают внеклассные мероприятия?,"Да! Мы проводим клубные дни — это тематические встречи, мастер-классы и конкурсы, которые помогают детям раскрыться. Хотите получить расписание ближайших клубных дней? Если останутся вопросы — пишите. Спасибо за ваш вопрос!"
Оплата по модулям,"Можно ли оплачивать по частям? Поясните, пожалуйста. Поясните, пожалуйста.","Конечно! Да, у нас доступна оплата по модулям — это удобно и гибко. Вы можете оплачивать курс по мере прохождения. Хотите уточнить условия? Спасибо за ваш вопрос!"
Настройка оборудования,"Можете пояснить: Дети учатся настраивать технику? Поясните, пожалуйста.","Да, конечно. Конечно! Да, мы учим настройке оборудования — от подключения сенсоров до калибровки моторов. Хотите посмотреть примеры задач?"
Видеоматериалы,Можете пояснить: Интересует следующее: Можно получить видеозапись занятий?,"Да, конечно. Видеоматериалы предоставляются только для индивидуальных курсов. Но мы делимся фрагментами в соцсетях и на платформе. Хотите пример видео? Спасибо за ваш вопрос!"
Настройка оборудования,Можете пояснить: Дети учатся настраивать технику?,"Конечно! Да, мы учим настройке оборудования — от подключения сенсоров до калибровки моторов. Хотите посмотреть примеры задач?"
Онлайн-консультации для родителей,Хотелось бы узнать: Хотелось бы узнать: Проводятся ли консультации для родителей?,"Да, мы проводим онлайн-консультации для родителей, где обсуждаем успехи ребёнка и даём рекомендации. Хотите записаться на ближайшую консультацию? Спасибо за ваш вопрос! Надеемся, это полезно."
Занятие в небольних группах,Интересует следующее: Можете пояснить: Сколько учеников в группе?,"Мы организуем занятия в небольших группах: 4-5 учеников для детей 5-8 лет и 3-4 ученика для детей 9-17 лет. Это позволяет уделять внимание каждому ребенку. Хотите записаться на пробный урок? Спасибо за ваш вопрос! Надеемся, это полезно."
Родительский чат,Интересует следующее: Можете пояснить: Как можно быть в курсе прогресса?,"Конечно! Конечно! Мы ведем родительский чат — там вы получаете фото, отчёты и новости с занятий. Хотите, я добавлю вас в чат?"
Обучение в удовольствие,Интересует следующее: Хотелось бы узнать: Моему ребёнку не нравится школа. Зайдёт ли ему курс? (уточнение),"Да, конечно. Да, конечно. У нас обучение в удовольствие — занятия интерактивные, с играми и творческими заданиями. Это совсем не похоже на школу. Хотите прийти на пробный урок? Если останутся вопросы — пишите."
Динамика в обучении,Не будет ли скучно на занятиях? (уточнение),"Да, конечно. Нет, у нас всегда поддерживается динамика в обучении — смена активностей, челленджи, творческие задания. Хотите посмотреть расписание урока?"
Обучение в удовольствие,Хотелось бы узнать: Моему ребёнку не нравится школа. Зайдёт ли ему курс?,"Да, конечно. У нас обучение в удовольствие — занятия интерактивные, с играми и творческими заданиями. Это совсем не похоже на школу. Хотите прийти на пробный урок?"
Менторская поддержка выпускников,"Хотелось бы узнать: Поддерживаете ли выпускников после окончания? Поясните, пожалуйста.","Да, конечно. Конечно! Да, мы предоставляем менторскую поддержку выпускников — помогаем в проектной и конкурсной деятельности. Хотите присоединиться к сообществу выпускников?"
Занятия с друзьями,Можно ли записаться в одну группу с другом?,"Конечно! Занятия с друзьями делают обучение ещё увлекательнее. Сообщите, с кем хотите заниматься, и мы подберём группу. Хотите оставить заявку?"
Преподаватели с опытом,"Хотелось бы узнать: Можете пояснить: Кто будет вести занятия? Поясните, пожалуйста.",Конечно! Занятия проводят преподаватели с опытом — все наши педагоги проходят обучение и имеют практический опыт в ИТ и образовании. Хотите посмотреть профили педагогов? Если останутся вопросы — пишите. Если останутся вопросы — пишите.
Мастер-классы от гостей,Хотелось бы узнать: Вы приглашаете экспертов?,"Да, конечно. Да, мы проводим мастер-классы от гостей — инженеры, преподаватели вузов и айтишники делятся опытом. Хотите попасть на одно из таких мероприятий?"
Подготовка к олимпиадам,"Вы готовите к олимпиадам? Поясните, пожалуйста.","Да, конечно. Да, у нас есть специальная программа по подготовке к олимпиадам — подготовка к олимпиадам помогает развить системное мышление и навыки решения задач. Хотите узнать о формате?"
Награды и дипломы,"Интересует следующее: Дети получают дипломы? Поясните, пожалуйста. Поясните, пожалуйста.","Конечно! Конечно! Да, конечно. Да, мы вручаем награды и дипломы за участие в курсах и конкурсах. Это отличная мотивация для учеников. Хотите посмотреть образец диплома?"
Lego Education Wedo 2.0,"Что изучают дети на курсе Lego Education Wedo 2.0? Поясните, пожалуйста. Поясните, пожалуйста.","На курсе Lego Education Wedo 2.0 дети изучают основы робототехники через конструирование, программирование и экспериментирование. Программа разработана для детей 5-8 лет. Хотите узнать расписание или записаться на пробный урок? Если останутся вопросы — пишите. Спасибо за ваш вопрос!"
Летний лагерь,Можете пояснить: Есть ли у вас занятия летом? (уточнение),"Да, каждое лето мы организуем летний лагерь с занятиями по робототехнике и программированию. Летний лагерь — это отличная возможность совместить отдых и обучение. Хотите узнать подробнее? Спасибо за ваш вопрос! Если останутся вопросы — пишите."
Участие родителей в финале,"Хотелось бы узнать: Родители участвуют в итоговых занятиях? Поясните, пожалуйста. Поясните, пожалуйста.","Да, конечно. Да, у нас есть участие родителей в финале — вы можете увидеть результат, задать вопросы, пообщаться с преподавателями. Хотите приглашение? Спасибо за ваш вопрос! Надеемся, это полезно."
Семейная абонементная карта,Хотелось бы узнать: Можно ли приобрести один абонемент на двух детей?,"Да, у нас есть семейная абонементная карта, позволяющая обучаться двум детям по одному тарифу. Хотите уточнить условия? Если останутся вопросы — пишите."
